"BusTID","InternalNo","BusPlate","SIMCode"
"40288dee5b476aa5015b658b7d9e0784","0605","粤G52390","14546995486"
"40288dee5b476aa5015b658aa31d0782","0603","粤G52388","14546960093"
"40288dee5b476aa5015b6589e7b60780","0602","粤G52392","14546995479"
"40288dee5b476aa5015b6588b53b077e","0601","粤G52380","14546995784"
"40288dee5b476aa5015b658264ba0774","0310","粤G53946","14546995743"
"40288dee5b476aa5015b65818f250772","0309","粤G53948","14546994857"
"40288dee5b476aa5015b6580ac790770","0308","粤G52358","14546995048"
"40288dee5b476aa5015b657fe12f076e","0307","粤G52321","14546995014"
"40288dee5b476aa5015b657f2b82076c","0306","粤G52332","14546994893"
"40288dee5b476aa5015b657e5e20076a","0305","粤G52329","14546995417"
"40288dee5b476aa5015b657d7ae80768","0313","粤G52317","14546994964"
"40288dee5b476aa5015b657c137b0766","0303","粤G52210","14546971337"
"40288dee5b476aa5015b657ad1160764","0302","粤G52306","14546995419"
"40288dee5b476aa5015b6579c07f0762","0301","粤G53961","14546995114"
"40288dee5b476aa5015b5ab90a39027f","0001","粤G52832",""
"40288dee5b476aa5015b5aba42210281","21003","粤G56521","14546971928"
"40288dee5b476aa5015b5abb59f10283","21005","粤G56608","14546971882"
"40288dee5b476aa5015b65cc9bbf07a0","1807","粤G54407",""
"40288dee5b476aa5015b65cbc998079e","1806","粤G54583",""
"40288dee5b476aa5015b65caf36b079c","1805","粤G54562",""
"40288dee5b476aa5015b65c98aa1079a","1803","粤G54567",""
"40288dee5b476aa5015b65c8a6f80798","1802","粤G54457",""
"40288dee5b476aa5015b65d071bd07a8","1401","粤G54580",""
"40288dee5b476aa5015b65cf534607a6","1402","粤G54420",""
"40288dee5b476aa5015b65ce8ab507a4","1404","粤G54566",""
"40288dee5b476aa5015b65cda56607a2","1403","粤G54577",""
"40288dee5b476aa5015b5d00150304f5","22311","粤G51000","14546995488"
"40288dee5b476aa5015b5cfe1e9504f3","22310","粤G58482","8986011626520021159S"
"40288dee5b476aa5015b5cfce57904f1","22309","粤G58588","8986011626520021162S"
"40288dee5b476aa5015b5cfb525e04ef","22308","粤G58496","8986011626520021161S"
"40288dee5b476aa5015b5cf74c1804ed","22307","粤G58568","8986011626520021163S"
"40288dee5b476aa5015b5cf2314404eb","22306","粤G58528","8986011626520021158S"
"40288dee5b476aa5015b5cf0f4b004e9","22305","粤G58527","8986011626520021167S"
"40288dee5b476aa5015b5cef9fd304e7","22304","粤G58450","8986011474520008185S"
"40288dee5b476aa5015b5cee4a9504e5","22303","粤G58558","8986011626520021176S"
"40288dee5b476aa5015b5c8d1fc504e3","22302","粤G58566","8986011626520021157S"
"40288dee5b476aa5015b5c8b57e004e1","22301","粤G58419","8986011626520021160S"
"40288dee5b476aa5015b601a18ff0561","宝满02","粤G47202",""
"40288dee5b476aa5015b6018e896055f","宝满01","粤G49002",""
"40288dee5b476aa5015b5bf6bdd803c9","学专03","粤G46741",""
"40288dee5b476aa5015b5bf5d1fc03c7","学专02","粤G47228",""
"40288dee5b476aa5015b5bf4ad4803c5","学专01","粤G47223",""
"40288dee5b476aa5015b65878829077c","0402","粤G54501",""
"40288dee5b476aa5015b65868b75077a","0401","粤G54556",""
"40288dee5b476aa5015b65f6362f080c","6301","粤G54007","14546995143"
"40288dee5b476aa5015b65f6ec93080e","6302","粤G5226",""
"40288dee5b476aa5015b65f77f690810","6303","粤G52313","14546995294"
"40288dee5b476aa5015b65f829860812","6304","粤G52360","14546995184"
"40288dee5b476aa5015b65f8b8a70814","6305","粤G52260","14546994988"
"40288dee5b476aa5015b65f09fd107f8","3301","粤G56748","14546971321"
"40288dee5b476aa5015b65f12cae07fa","3302","粤G56765","14546971301"
"40288dee5b476aa5015b65f1b96607fc","3303","粤G56757","14546971285"
"40288dee5b476aa5015b65f258f107fe","3304","粤G56789",""
"40288dee5b476aa5015b65f2dc240800","3305","粤G56749","14546971316"
"40288dee5b476aa5015b65f3717f0802","3306","粤G56788","14546971291"
"40288dee5b476aa5015b65f3f38b0804","3307","粤G56775","14546971306"
"40288dee5b476aa5015b65f483b70806","3308","粤G56763","14546971323"
"40288dee5b476aa5015b65f510740808","3309","粤G56759","14546971286"
"40288dee5b476aa5015b65f592aa080a","3310","粤G56758","14546971717"
"40288dee5b476aa5015b65da716c07c2","0901","粤G54019","14546995194"
"40288dee5b476aa5015b65db55f907c4","0902","粤G54411","14546994938"
"40288dee5b476aa5015b65dc08f907c6","0903","粤G54018","14546995004"
"40288dee5b476aa5015b65ddae8b07c8","0904","粤G52150","14546994993"
"40288dee5b476aa5015b65df980407ca","0905","粤G54027","14546995492"
"40288dee5b476aa5015b65e063cc07cc","0906","粤G54449","14546995447"
"40288dee5b476aa5015b65e11f6707ce","0907","粤G54001",""
"40288dee5b476aa5015b65e1dd9907d0","0908","粤G52401","14546994917"
"40288dee5b476aa5015b65e2aa6707d2","0909","粤G54408","8986011626520021232"
"40288dee5b476aa5015b65e3581407d4","0910","粤G54012","14546995364"
"40288dee5b476aa5015b65e4069a07d6","0911","粤G54406","14546995420"
"40288dee5b476aa5015b65e4daaa07d8","0912","粤G52353","14546960123"
"40288dee5b476aa5015b65e59cf107da","0913","粤G54011","8986011626520021230"
"40288dee5b476aa5015b65e63b3e07dc","0914","粤G54000","14546994960"
"40288dee5b476aa5015b65e6f76307de","0915","粤G52115","14546995466"
"40288dee5b476aa5015b65e78c2d07e0","0916","粤G52325","14546995074"
"40288dee5b476aa5015b6023ffb1056f","9706","粤G45040",""
"40288dee5b476aa5015b60233c31056d","9705","粤G45961",""
"40288dee5b476aa5015b60220591056b","9703","粤G45877",""
"40288dee5b476aa5015b602167ee0569","22002","粤G566191","14546971722"
"40288dee5b476aa5015b60208b060567","22001","粤G566061","14546971736"
"40288dee5b476aa5015b5bf0520103ba","21001","粤G56710","14546971610"
"40288dee5b476aa5015b5befb06b03b8","0808","粤G56746","14546971519"
"40288dee5b476aa5015b5bef07fb03b6","0807","粤G56643","14546971608"
"40288dee5b476aa5015b5bee738d03b4","0806","粤G56856","14546971667"
"40288dee5b476aa5015b5beddf5b03b2","0805","粤G56805","14546971653"
"40288dee5b476aa5015b5becbdcb03b0","0804","粤G56806","14546971616"
"40288dee5b476aa5015b5bebead303ae","0802","粤G56790","14546971611"
"40288dee5b476aa5015b5bead58b03ac","3506","粤G56783","14546971436"
"40288dee5b476aa5015b5be5f16303a0","82101","粤G47233",""
"40288dee5b476aa5015b5be6cf2003a2","82102","粤G46341",""
"40288dee5b476aa5015b5be7b42e03a4","82103","粤G47160",""
"40288dee5b476aa5015b5be86dbf03a6","82104","粤G47229",""
"40288dee5b476aa5015b5be91e8b03a8","82105","粤G47222",""
"40288dee5b476aa5015b5be9f93c03aa","82106","粤G47219",""
"40288dee5b476aa5015b5bdaa4430384","82001","粤G47826",""
"40288dee5b476aa5015b5bdb90050386","82002","粤G47839",""
"40288dee5b476aa5015b5bdc6d280388","82003","粤G47810",""
"40288dee5b476aa5015b5bdd3811038a","82004","粤G47196",""
"40288dee5b476aa5015b5bddfe04038c","82005","粤G47801",""
"40288dee5b476aa5015b5bdeac58038e","82006","粤G47807",""
"40288dee5b476aa5015b5bdf5d340390","82007","粤G47691",""
"40288dee5b476aa5015b5be010130392","82008","粤G47703",""
"40288dee5b476aa5015b5be0fcce0394","82010","粤G47203",""
"40288dee5b476aa5015b5be1c7740396","82011","粤G47748",""
"40288dee5b476aa5015b5be2a0e10398","82012","粤G47751",""
"40288dee5b476aa5015b5be35950039a","82013","粤G47652",""
"40288dee5b476aa5015b5be42535039c","82014","粤G48937",""
"40288dee5b476aa5015b5be4f905039e","82015","粤G48647",""
"40288dee5b476aa5015b600ef5270547","81601","粤G47717",""
"40288dee5b476aa5015b600fc7ff0549","81603","粤G47738",""
"40288dee5b476aa5015b60107290054b","81604","粤G47836",""
"40288dee5b476aa5015b6011a9e9054d","81605","粤G47731",""
"40288dee5b476aa5015b60127dae054f","81606","粤G47825",""
"40288dee5b476aa5015b601323cd0551","81608","粤G47821",""
"40288dee5b476aa5015b60140eae0553","81609","粤G47800",""
"40288dee5b476aa5015b6014d3260555","81612","粤G47832",""
"40288dee5b476aa5015b601580170557","81614","粤G47828",""
"40288dee5b476aa5015b601651180559","81615","粤G47739",""
"40288dee5b476aa5015b601722ee055b","81617","粤G47189",""
"40288dee5b476aa5015b6017f52c055d","81618","粤G49102",""
"40288dee5b476aa5015b655c09d80724","81306","粤G48976",""
"40288dee5b476aa5015b655b4e340722","81305","粤G48905",""
"40288dee5b476aa5015b655aa59d0720","81304","粤G48967",""
"40288dee5b476aa5015b6559ef3e071e","81303","粤G48705",""
"40288dee5b476aa5015b655934c8071c","81302","粤G48949",""
"40288dee5b476aa5015b65583375071a","81301","粤G48340",""
"40288dee5b476aa5015b60095d98053b","80801","粤G47230",""
"40288dee5b476aa5015b600a5a09053d","80803","粤G47147",""
"40288dee5b476aa5015b600bb1a0053f","80804","粤G47192",""
"40288dee5b476aa5015b600c6e0a0541","80805","粤G47221",""
"40288dee5b476aa5015b600d87ef0543","80806","粤G46942",""
"40288dee5b476aa5015b600e2cec0545","80807","粤G47047",""
"40288dee5b476aa5015b61b0461b070a","80709","粤G58262",""
"40288dee5b476aa5015b61af8b050708","80708","粤G58271",""
"40288dee5b476aa5015b61aee1ce0706","80707","粤G58261",""
"40288dee5b476aa5015b61aad1810704","80706","粤G58220",""
"40288dee5b476aa5015b61aa1f7e0702","80705","粤G58266",""
